,Jan,,,,Feb,,,,Mar,,,,Apr,,,,May,,,,Jun,,,,Jul,,,,Aug,,,,Sep,,,,Oct,,,,Nov,,,,Dec,,,
"Yellow-crowned/Black-crowned Night Heron (<em class=""sci"">Nycticorax nycticorax/Nyctanassa violacea</em>)",4.41E-5,5.84E-5,3.28E-5,5.55E-5,6.63E-5,2.61E-5,1.98E-5,3.91E-5,6.16E-5,6.3E-5,5.02E-5,5.61E-5,9.4E-6,2.85E-5,4.38E-5,4.09E-5,3.6E-5,4.32E-5,3.09E-5,2.84E-5,6.44E-5,9.17E-5,9.51E-5,4.98E-5,1.379E-4,1.05E-4,9.4E-5,1.163E-4,9.33E-5,1.06E-4,1.601E-4,1.534E-4,1.097E-4,7.82E-5,1.037E-4,6.28E-5,7.18E-5,4.94E-5,3.22E-5,4.94E-5,2.25E-5,7.69E-5,1.17E-5,7.62E-5,4.91E-5,2.42E-5,4.81E-5,5.8E-5
"Little Blue Heron (<em class=""sci"">Egretta caerulea</em>)",0.0049048,0.0043272,0.0041876,0.0041724,0.0033645,0.0036234,0.0036502,0.0072227,0.0051979,0.0034414,0.0035357,0.0028815,0.0025821,0.0021779,0.0016545,0.0026873,0.0021769,0.002106,0.0020399,0.0023538,0.0027684,0.0028661,0.002627,0.003319,0.0035972,0.0046332,0.0047381,0.004836,0.0055183,0.0056156,0.0050285,0.0058025,0.0053095,0.0044337,0.0042107,0.0031263,0.0035903,0.0048403,0.0048289,0.0048453,0.0054259,0.0049303,0.004062,0.0050213,0.0044211,0.004681,0.0032434,0.0043219
"Tricolored Heron (<em class=""sci"">Egretta tricolor</em>)",0.0010389,7.42E-4,7.965E-4,7.149E-4,6.919E-4,4.791E-4,4.1E-4,6.06E-4,4.314E-4,3.357E-4,4.721E-4,2.384E-4,3.11E-4,1.712E-4,1.576E-4,1.842E-4,8.1E-5,1.467E-4,1.133E-4,4.25E-5,1.502E-4,9.17E-5,4.75E-5,1.296E-4,6.518E-4,4.2E-4,1.611E-4,5.524E-4,1.999E-4,7.95E-5,3.201E-4,2.166E-4,5.704E-4,5.584E-4,1.763E-4,3.692E-4,7.386E-4,7.902E-4,0.0013092,0.0011372,9.436E-4,0.0014385,0.0014792,9.907E-4,9.088E-4,8.588E-4,6.256E-4,8.76E-4
"Reddish Egret (<em class=""sci"">Egretta rufescens</em>)",0.0066489,0.0056945,0.0055752,0.0049182,0.0041227,0.0038237,0.0033262,0.0055221,0.0032564,0.0028118,0.0033448,0.0015845,0.001357,0.0013315,0.0010155,0.0012686,0.0011244,0.0011738,0.0010509,0.0011981,0.0014808,0.0020292,0.002104,0.0031894,0.0047001,0.0061689,0.0073287,0.0081795,0.0082375,0.0083174,0.0070292,0.0066237,0.0056715,0.0053159,0.004501,0.0040454,0.0042365,0.0052552,0.0054298,0.0049112,0.0053023,0.0065115,0.0057291,0.0064777,0.0055018,0.005951,0.0045042,0.0056617
"Snowy Egret (<em class=""sci"">Egretta thula</em>)",0.1654861,0.1637485,0.1657046,0.1563835,0.147252,0.1302076,0.1137378,0.1448649,0.139655,0.1343497,0.1272839,0.118869,0.1143078,0.1097152,0.1074577,0.1076069,0.1055619,0.1008527,0.0999763,0.0945615,0.093857,0.0982139,0.0974836,0.1142806,0.1335589,0.1461103,0.1619285,0.1763919,0.1862629,0.1866656,0.1833593,0.1878643,0.176388,0.1629626,0.1567173,0.1475579,0.1446054,0.1481716,0.1514664,0.1601088,0.1658878,0.1693222,0.1715446,0.1788868,0.1769539,0.1653946,0.1476473,0.164247
"Little Blue Heron x Snowy Egret (hybrid) (<em class=""sci"">Egretta caerulea x thula</em>)",0,0,8.2E-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0,0,0,0,0,0,0,0,0,0,0
"Green Heron (<em class=""sci"">Butorides virescens</em>)",0.023926,0.0234284,0.0218,0.0213306,0.0206041,0.0184045,0.0146669,0.0187947,0.0209251,0.0209839,0.0210131,0.0210676,0.0258488,0.0297018,0.0338962,0.04035,0.0448334,0.0437935,0.046784,0.0469405,0.0439294,0.0433003,0.0421981,0.0473329,0.0512377,0.0509522,0.0526966,0.0584193,0.0616744,0.0624868,0.0582476,0.0625462,0.0636375,0.0574479,0.0519695,0.0433522,0.0392261,0.0349487,0.0320746,0.0325244,0.0312409,0.0287914,0.0285047,0.0272911,0.0289704,0.0246507,0.0251966,0.0238255
"Western Cattle-Egret (<em class=""sci"">Ardea ibis</em>)",0.0063593,0.0069451,0.0078989,0.0077286,0.0075536,0.0062016,0.0058258,0.0077407,0.0062868,0.0064526,0.0061472,0.0067585,0.0060311,0.0063531,0.0059353,0.0060293,0.0073493,0.0055583,0.005038,0.0051967,0.0044316,0.0042991,0.0042911,0.0054918,0.0055524,0.0054339,0.0056777,0.0064544,0.0066646,0.0065957,0.0064957,0.0058837,0.0057812,0.0050814,0.0051544,0.0050037,0.0050777,0.0060948,0.0065136,0.0062873,0.0061785,0.0063908,0.007314,0.0072059,0.0059439,0.0055519,0.007199,0.0072269
"Western/Eastern Cattle-Egret (<em class=""sci"">Ardea ibis/coromanda</em>)",0,0,0,0,0,0,6.6E-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0,0,0,0,0,0
"Great Egret (<em class=""sci"">Ardea alba</em>)",0.2074007,0.2048024,0.2063733,0.1983729,0.1833613,0.1670427,0.1447181,0.1741468,0.1654699,0.1565192,0.1458662,0.1338792,0.1269165,0.123848,0.1246247,0.1195837,0.1189022,0.1138337,0.1157187,0.1115767,0.1062611,0.110836,0.1098577,0.1239784,0.141029,0.1524236,0.1664922,0.1816349,0.1925276,0.2024661,0.2077815,0.2165611,0.2095067,0.1977284,0.1975172,0.1916485,0.1863652,0.1947666,0.1971907,0.2073915,0.2139455,0.2190098,0.2253372,0.2283377,0.224284,0.2106199,0.1924295,0.2037113
"Great Blue Heron (<em class=""sci"">Ardea herodias</em>)",0.1782047,0.1771219,0.1750651,0.1644572,0.1541611,0.1363569,0.1168061,0.1407893,0.1344161,0.130583,0.1275752,0.1199347,0.1181432,0.1182938,0.1223573,0.1223187,0.1255319,0.1228962,0.1233632,0.1212753,0.1206395,0.1253841,0.1246568,0.13855,0.149577,0.1561643,0.1660358,0.1772157,0.183837,0.1882682,0.1892815,0.200805,0.1959257,0.1831431,0.1813487,0.1742652,0.1677266,0.1718691,0.174409,0.1789378,0.1828057,0.1878685,0.1917609,0.1940185,0.1918259,0.1801149,0.1718718,0.1761307
"Ardea sp. (<em class=""sci"">Ardea sp.</em>)",0,0,0,6.2E-6,9.5E-6,0,1.32E-5,0,0,1.05E-5,1.0E-5,1.4E-5,9.4E-6,0,0.0015,0,2.7E-5,8.6E-6,0,0.0015,1.07E-5,0,0,0,0,0,0,0,1.33E-5,1.32E-5,0,0,0,0,0,2.36E-5,0,9.9E-6,0,0,1.12E-5,1.1E-5,0,0,0,0,0,0
"heron sp. (<em class=""sci"">Ardeidae sp.</em>)",2.52E-5,0.0015,1.64E-5,1.23E-5,4.74E-5,1.74E-5,1.32E-5,9.8E-6,1.03E-5,1.05E-5,2.01E-5,2.1E-5,1.88E-5,3.8E-5,2.63E-5,1.36E-5,4.5E-5,4.32E-5,2.06E-5,2.84E-5,5.37E-5,2.29E-5,3.57E-5,2.99E-5,2.51E-5,2.63E-5,5.37E-5,4.85E-5,5.33E-5,2.65E-5,2.67E-5,9.0E-6,3.29E-5,1.12E-5,2.07E-5,1.57E-5,2.05E-5,9.9E-6,2.15E-5,1.65E-5,1.12E-5,2.2E-5,1.17E-5,8.5E-6,1.23E-5,1.21E-5,1.92E-5,0
"white egret sp. (<em class=""sci"">Egretta/Ardea sp.</em>)",1.763E-4,2.918E-4,2.545E-4,2.773E-4,2.654E-4,2.613E-4,4.1E-4,2.639E-4,1.952E-4,1.993E-4,2.712E-4,2.945E-4,2.827E-4,2.663E-4,2.626E-4,3.615E-4,2.879E-4,3.193E-4,3.4E-4,4.254E-4,4.399E-4,3.669E-4,4.755E-4,5.781E-4,5.389E-4,5.119E-4,4.832E-4,4.264E-4,5.198E-4,6.225E-4,3.735E-4,3.068E-4,4.169E-4,4.02E-4,2.904E-4,3.299E-4,3.18E-4,3.754E-4,3.434E-4,2.884E-4,3.932E-4,2.196E-4,2.818E-4,3.133E-4,4.421E-4,2.056E-4,1.732E-4,2.641E-4
"American White Pelican (<em class=""sci"">Pelecanus erythrorhynchos</em>)",0.0565032,0.0545189,0.0562284,0.0537734,0.0527139,0.0457804,0.0432667,0.0548497,0.0544341,0.0522605,0.0480931,0.0422965,0.0395224,0.0345523,0.0302632,0.0300511,0.0275531,0.0292935,0.0280849,0.0305067,0.0296475,0.0332233,0.0348758,0.0432265,0.0496459,0.0535117,0.0581058,0.06405,0.0652733,0.0661025,0.0646099,0.0640894,0.0629025,0.0573697,0.054417,0.0568159,0.050797,0.0563052,0.0580863,0.0587615,0.0640095,0.0639295,0.0660491,0.069426,0.0617601,0.0573692,0.0519523,0.0559019
"Brown Pelican (<em class=""sci"">Pelecanus occidentalis</em>)",0.0844336,0.0821828,0.0770677,0.0670365,0.061945,0.0535237,0.0459911,0.0609484,0.0520406,0.0454932,0.0466969,0.0436706,0.0426699,0.0426173,0.0457582,0.0536363,0.0622937,0.0664152,0.0713248,0.0656855,0.0683728,0.0757326,0.0808658,0.0931308,0.1016858,0.1169329,0.1290569,0.1448466,0.150967,0.1533958,0.1551092,0.1531034,0.1502902,0.1431395,0.1373857,0.1316827,0.1248282,0.124474,0.1271931,0.1247332,0.1263452,0.1317353,0.1267801,0.1271412,0.1108464,0.1031388,0.0823364,0.0962809
"Pink-backed Pelican (<em class=""sci"">Pelecanus rufescens</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65E-5,1.12E-5,1.1E-5,0,0,0,0,0,0
"pelican sp. (<em class=""sci"">Pelecanus sp.</em>)",6.3E-6,0,8.2E-6,0,0.0015,0,0,0,0,0,0,0,0,0,0.0015,0,0,0.0015,0,0,0,0,0,1.99E-5,0,1.31E-5,0,9.7E-6,1.33E-5,0,0,0.0015,0,0,0,0,0,0,2.15E-5,0.0015,0,1.1E-5,0,0.0015,1.23E-5,0.0015,0,0
"California Condor (<em class=""sci"">Gymnogyps californianus</em>)",0.0015678,0.0014841,0.0015847,0.0014607,0.0014595,0.0017943,0.0015011,0.0021307,0.0015922,0.002004,0.002491,0.0025239,0.0022145,0.0021494,0.0021185,0.0018279,0.0016462,0.0013205,0.0013393,0.0011273,0.0015022,0.0014903,0.0017355,0.0012857,0.0012534,0.0013125,0.0016644,0.001822,0.0016395,0.0020794,0.0017473,0.0023553,0.0020185,0.002658,0.0017838,0.0019009,0.0013746,0.0016892,0.0016955,0.0017552,0.0016177,0.0015922,0.0013266,0.0013802,0.0011176,0.0010523,0.0013667,0.0016489
"Black Vulture (<em class=""sci"">Coragyps atratus</em>)",5.04E-5,5.84E-5,1.642E-4,8.63E-5,1.99E-4,2.178E-4,1.587E-4,3.812E-4,2.774E-4,4.2E-5,7.03E-5,4.91E-5,9.4E-6,3.8E-5,6.13E-5,3.41E-5,9.0E-6,8.6E-6,1.03E-5,0,1.07E-5,5.73E-5,2.38E-5,1.0E-5,2.51E-5,0,2.68E-5,2.91E-5,4.0E-5,3.97E-5,4.0E-5,6.32E-5,0,7.82E-5,2.07E-5,2.36E-5,9.23E-5,4.94E-5,7.51E-5,1.236E-4,3.37E-5,9.88E-5,1.291E-4,4.23E-5,9.82E-5,7.26E-5,1.155E-4,1.031E-4
"Turkey Vulture (<em class=""sci"">Cathartes aura</em>)",0.2304452,0.2392279,0.2448004,0.2465317,0.246908,0.2461218,0.2412035,0.2669377,0.2723453,0.279506,0.2811153,0.2924998,0.2871547,0.2933758,0.2978526,0.2894889,0.2827008,0.2785555,0.277562,0.2720434,0.2521165,0.2530724,0.2520594,0.2458538,0.2427148,0.2336033,0.2438458,0.2428648,0.2473641,0.2565824,0.2572926,0.273368,0.273177,0.2781265,0.2988944,0.2788871,0.2502821,0.2475157,0.2336005,0.2391166,0.2401537,0.2412237,0.2448373,0.2450443,0.2328069,0.2299244,0.2364898,0.2383836
"new world vulture sp. (<em class=""sci"">Cathartidae sp.</em>)",0,0,8.2E-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0,0,0,0,0,0,0,1.12E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Osprey (<em class=""sci"">Pandion haliaetus</em>)",0.0486013,0.0477405,0.0489535,0.0440788,0.042535,0.0382548,0.0350471,0.0474413,0.0481371,0.049669,0.0521109,0.0510741,0.0542326,0.0520805,0.0536544,0.0516584,0.0487555,0.0479363,0.0491639,0.0496912,0.049273,0.0545352,0.0597668,0.0604194,0.0615279,0.0641825,0.0678237,0.0704366,0.0743772,0.0786448,0.0779881,0.07555,0.0722929,0.0629984,0.0584306,0.0525034,0.0519049,0.0512575,0.0484285,0.0508096,0.052641,0.0526414,0.0516207,0.0523383,0.0506091,0.0504989,0.045812,0.0494738
"White-tailed Kite (<em class=""sci"">Elanus leucurus</em>)",0.0602872,0.0581291,0.056565,0.0568919,0.0555477,0.0504142,0.040939,0.0458482,0.0452402,0.0428177,0.0373153,0.0359446,0.0337835,0.0318513,0.0320754,0.0282096,0.0286416,0.0268854,0.0277243,0.0265578,0.0265787,0.0263677,0.0270424,0.0274788,0.0292035,0.031015,0.0328716,0.0352183,0.0376551,0.0385145,0.0384672,0.0395347,0.0414889,0.0421702,0.0438904,0.0460151,0.0469811,0.0508031,0.0537081,0.0564954,0.0593588,0.061986,0.0646286,0.0620338,0.0638724,0.0605745,0.0618173,0.0592771
"Swallow-tailed Kite (<em class=""sci"">Elanoides forficatus</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36E-5,1.8E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0,0,0,0,0,0,0,0,0,0,0
"Golden Eagle (<em class=""sci"">Aquila chrysaetos</em>)",0.0140849,0.0144322,0.0146565,0.0155373,0.0140267,0.0140756,0.011797,0.0148462,0.0126044,0.0133248,0.0129674,0.0132365,0.0135605,0.0127919,0.0121508,0.0127202,0.0108216,0.008933,0.0083863,0.00799,0.0064167,0.0068671,0.007037,0.0061596,0.0061039,0.0062214,0.0068991,0.0058729,0.0054783,0.0067546,0.0059221,0.0072644,0.0067027,0.0071475,0.0078405,0.0087427,0.009068,0.0104115,0.0100763,0.0113798,0.0125143,0.0138576,0.0152268,0.0137683,0.0132878,0.0147082,0.0186231,0.0132943
"Sharp-shinned Hawk (<em class=""sci"">Accipiter striatus</em>)",0.0276219,0.0249291,0.0248627,0.0234754,0.0232578,0.0219669,0.0201554,0.0223328,0.0225687,0.0216135,0.0204606,0.0208433,0.0196104,0.019126,0.0151885,0.0104763,0.006036,0.0036336,0.0026478,0.0021623,0.0020495,0.0019718,0.0018306,0.0023223,0.002043,0.0019163,0.0019597,0.0027814,0.0031057,0.0042514,0.0049218,0.0052972,0.0075145,0.0105314,0.0192798,0.0289067,0.0326816,0.0313432,0.0324502,0.0344197,0.0347008,0.0327993,0.0321558,0.0304749,0.0301248,0.0304445,0.0390942,0.0313615
"Cooper's Hawk (<em class=""sci"">Astur cooperii</em>)",0.0747751,0.0712356,0.066763,0.0675603,0.0691953,0.0717104,0.0723954,0.0806716,0.0877171,0.0898532,0.0940466,0.094324,0.0936231,0.0885539,0.0838214,0.0759121,0.0678709,0.061159,0.0633094,0.0617153,0.0652181,0.064704,0.0642838,0.0668182,0.0697876,0.0697739,0.0716894,0.0710084,0.0682058,0.0692943,0.0707455,0.0783475,0.0854679,0.0931742,0.1059406,0.1120686,0.1126521,0.10697,0.1009025,0.0963372,0.0922061,0.0879223,0.0842109,0.0791468,0.0835462,0.0834472,0.0927596,0.0815051
"Sharp-shinned/Cooper's Hawk (<em class=""sci"">Accipiter striatus/Astur cooperii</em>)",0.002827,0.0030098,0.003038,0.0030569,0.0029285,0.0029702,0.0034584,0.0034794,0.0031228,0.0035148,0.0036964,0.0037228,0.0039485,0.0035094,0.0027663,0.002585,0.001889,0.0014673,0.0012466,0.0012123,0.0011589,0.0011006,0.001153,9.469E-4,0.0012283,0.001155,0.0011812,0.0013665,0.0014129,0.0014701,0.0014539,0.0016063,0.0016236,0.0021666,0.003298,0.0046188,0.0050469,0.005107,0.0044748,0.0048123,0.0052349,0.0043374,0.0041794,0.0038612,0.0037579,0.0036891,0.0038786,0.0035941
"American Goshawk (<em class=""sci"">Astur atricapillus</em>)",6.93E-5,7.5E-5,4.93E-5,9.24E-5,7.58E-5,4.36E-5,7.27E-5,7.82E-5,8.22E-5,1.259E-4,6.03E-5,1.683E-4,1.979E-4,1.427E-4,2.539E-4,1.978E-4,2.429E-4,3.021E-4,5.769E-4,6.452E-4,9.657E-4,0.0013413,0.0013908,0.0015648,0.0012032,0.0014832,0.0014496,0.0015022,0.0013196,0.0013774,0.0015472,0.0010558,8.447E-4,6.031E-4,4.667E-4,4.792E-4,3.59E-4,4.939E-4,4.078E-4,2.802E-4,2.471E-4,1.427E-4,1.057E-4,1.016E-4,1.105E-4,1.21E-4,2.31E-4,1.095E-4
"Cooper's Hawk/American Goshawk (<em class=""sci"">Astur cooperii/atricapillus</em>)",0,0,0,6.2E-6,0,0,0,0,0,0,0,0,9.4E-6,0,0,6.8E-6,0,0,0,0,0,0,0,0,0,0,0.0015,9.7E-6,0,0,1.33E-5,9.0E-6,0,0,0,0,0,0.0015,0,0,0,0,0,0,0,0,0,0
"Accipitrine hawk sp. (former Accipiter sp.) (<em class=""sci"">Aerospiza/Tachyspiza/Accipiter/Astur sp.</em>)",0.0018385,0.0017759,0.0019131,0.0018181,0.0016017,0.0019511,0.0016532,0.0019547,0.0016641,0.0018046,0.0018984,0.0018298,0.0018093,0.0017024,0.0016808,0.0013641,0.0012144,0.001053,0.0010406,7.869E-4,9.764E-4,8.827E-4,7.845E-4,0.0010366,9.024E-4,8.269E-4,9.127E-4,9.304E-4,9.73E-4,0.0013112,0.0012138,0.0015341,0.0017223,0.0016864,0.0021572,0.0031263,0.0034364,0.0031807,0.0029188,0.0023897,0.0025725,0.0023828,0.0023245,0.0025318,0.0024316,0.0021772,0.0025986,0.0023123
"Northern Harrier (<em class=""sci"">Circus hudsonius</em>)",0.0978763,0.0968984,0.0966672,0.0947706,0.0914864,0.0848278,0.0708216,0.084933,0.0781431,0.0744615,0.0700202,0.0640441,0.0549111,0.0483333,0.0426154,0.0333181,0.0290284,0.0254613,0.0238299,0.0244096,0.0230055,0.0248315,0.024463,0.0231133,0.0252804,0.0250299,0.0274355,0.0286185,0.0291111,0.0325546,0.0345991,0.0385782,0.0419715,0.0446271,0.0512953,0.0566823,0.0645323,0.0715076,0.0781208,0.0872976,0.10153,0.1105975,0.121861,0.1166329,0.1088815,0.1057877,0.1067919,0.0998235
"White-tailed Eagle (<em class=""sci"">Haliaeetus albicilla</em>)",0,0,0,0,0,0,0,0,0,0,1.0E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bald Eagle (<em class=""sci"">Haliaeetus leucocephalus</em>)",0.029536,0.0295398,0.0312015,0.033774,0.0303754,0.0292486,0.0249099,0.0260565,0.0231235,0.0233761,0.0213546,0.0202193,0.0198743,0.0199819,0.0205636,0.0201477,0.0182968,0.0167009,0.015423,0.0156114,0.0147755,0.0150869,0.0174736,0.0165949,0.0146017,0.0139915,0.0140265,0.0127247,0.01085,0.0100524,0.0088432,0.0075081,0.0067576,0.0059972,0.0067101,0.006936,0.0070266,0.0095818,0.0111172,0.0133575,0.0154912,0.0186452,0.0224821,0.0228202,0.0244388,0.0256668,0.0304804,0.0270202
"Golden/Bald Eagle (<em class=""sci"">Aquila chrysaetos/Haliaeetus leucocephalus</em>)",1.26E-5,2.5E-5,2.46E-5,2.47E-5,1.9E-5,1.74E-5,1.98E-5,1.95E-5,3.08E-5,1.05E-5,2.01E-5,7.0E-6,3.77E-5,1.9E-5,0,6.8E-6,9.0E-6,8.6E-6,0,7.1E-6,0,0,1.19E-5,1.0E-5,2.51E-5,1.31E-5,0,0,1.33E-5,0,4.0E-5,9.0E-6,0,1.12E-5,1.04E-5,1.57E-5,0,0,1.07E-5,0,1.12E-5,3.29E-5,2.35E-5,8.5E-6,2.46E-5,1.21E-5,9.6E-6,6.4E-6
"Mississippi Kite (<em class=""sci"">Ictinia mississippiensis</em>)",0,0,0,0,0,0,0,0,0,0,0,0,2.356E-4,0,0,0,0,0,3.09E-5,1.56E-4,1.073E-4,2.522E-4,1.664E-4,6.98E-5,1.379E-4,2.1E-4,2.953E-4,1.94E-5,8.0E-5,2.65E-5,1.33E-5,0,0.0015,2.23E-5,2.07E-5,0,1.03E-5,0,0,8.2E-6,0,0.0015,0,0,0,0,0,0
"Common Black Hawk (<em class=""sci"">Buteogallus anthracinus</em>)",1.89E-5,2.5E-5,2.46E-5,8.63E-5,2.84E-5,5.23E-5,4.63E-5,2.93E-5,2.05E-5,1.05E-5,7.03E-5,5.61E-5,1.037E-4,1.427E-4,1.313E-4,1.159E-4,4.5E-5,3.45E-5,1.03E-5,7.09E-5,4.29E-5,1.032E-4,1.189E-4,1.495E-4,6.27E-5,2.63E-5,1.34E-5,2.91E-5,1.33E-5,1.32E-5,0,0,0.0015,1.12E-5,0,0,1.03E-5,0,0,0,0,0,0.0015,0,0,0,4.81E-5,3.22E-5
"Savanna Hawk (<em class=""sci"">Buteogallus meridionalis</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04E-5,0,0,0,0,0,0,0,1.17E-5,0,0,0,0,0
"Harris's Hawk (<em class=""sci"">Parabuteo unicinctus</em>)",1.952E-4,3.335E-4,3.859E-4,2.527E-4,2.559E-4,2.961E-4,2.777E-4,5.376E-4,3.184E-4,1.364E-4,1.908E-4,2.103E-4,1.319E-4,1.331E-4,7.88E-5,1.023E-4,9.9E-5,4.32E-5,1.03E-4,8.51E-5,3.22E-5,9.17E-5,2.38E-5,3.99E-5,3.76E-5,7.88E-5,9.4E-5,1.94E-5,1.33E-5,3.97E-5,5.34E-5,7.22E-5,1.097E-4,1.34E-4,9.33E-5,1.728E-4,1.128E-4,8.89E-5,1.502E-4,8.24E-5,1.91E-4,1.318E-4,3.052E-4,2.202E-4,1.105E-4,4.84E-5,6.74E-5,1.997E-4
"Gray Hawk (<em class=""sci"">Buteo plagiatus</em>)",1.511E-4,1.251E-4,1.396E-4,6.16E-5,2.84E-5,2.61E-5,1.98E-5,3.91E-5,3.08E-5,3.15E-5,2.01E-5,7.0E-6,0,1.9E-5,5.25E-5,2.73E-5,9.0E-6,8.6E-6,0,0,0,1.15E-5,0,0.0015,0,0,0,0,0,2.65E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,2.54E-4,1.842E-4,2.782E-4,9.62E-5,1.868E-4
"Broad-winged Hawk (<em class=""sci"">Buteo platypterus</em>)",9.44E-5,4.17E-5,7.39E-5,6.16E-5,1.9E-5,6.1E-5,2.05E-4,9.8E-6,0.0015,0,3.01E-5,0.0015,1.88E-5,2.85E-5,2.626E-4,1.228E-4,1.349E-4,2.071E-4,7.21E-5,9.93E-5,4.29E-5,0.0015,0,1.0E-5,2.51E-5,2.63E-5,1.34E-5,0.0015,0,2.65E-5,0,2.71E-5,6.58E-5,1.899E-4,0.0013275,0.0044617,0.0047289,0.0015706,7.726E-4,2.472E-4,8.99E-5,1.208E-4,5.87E-5,4.23E-5,2.333E-4,3.75E-4,1.444E-4,5.15E-5
"Red-shouldered Hawk (<em class=""sci"">Buteo lineatus</em>)",0.147806,0.1446056,0.148864,0.1522911,0.1541801,0.1487514,0.13878,0.158118,0.1634051,0.163255,0.1608124,0.1513293,0.1442182,0.1380475,0.1311203,0.1221755,0.1171211,0.1177176,0.1170271,0.1088755,0.104512,0.1011143,0.1049366,0.1164633,0.1269788,0.1231674,0.1141177,0.1029704,0.1002759,0.0984186,0.1039841,0.1232155,0.1402087,0.1536374,0.1670469,0.1719558,0.1661162,0.1571112,0.148011,0.1446418,0.1445663,0.1389166,0.1417368,0.1393431,0.1476519,0.147977,0.1604381,0.1554871
"Common Black x Red-shouldered Hawk (hybrid) (<em class=""sci"">Buteogallus anthracinus x Buteo lineatus</em>)",3.15E-5,3.34E-5,6.57E-5,7.4E-5,5.69E-5,2.178E-4,7.94E-5,1.271E-4,1.027E-4,1.469E-4,1.708E-4,2.594E-4,2.639E-4,2.092E-4,2.101E-4,1.705E-4,1.619E-4,1.726E-4,1.133E-4,1.418E-4,1.288E-4,1.605E-4,1.07E-4,1.694E-4,5.01E-5,6.56E-5,4.03E-5,3.88E-5,4.0E-5,1.32E-5,1.33E-5,2.71E-5,2.19E-5,4.47E-5,4.15E-5,2.36E-5,0,9.9E-6,3.22E-5,5.77E-5,2.25E-5,2.2E-5,1.17E-5,8.5E-6,0,1.21E-5,2.89E-5,1.29E-5
"Zone-tailed Hawk (<em class=""sci"">Buteo albonotatus</em>)",5.1E-4,5.169E-4,6.158E-4,6.533E-4,6.634E-4,5.4E-4,3.901E-4,6.157E-4,4.52E-4,3.043E-4,2.411E-4,2.594E-4,1.508E-4,1.712E-4,9.63E-5,6.82E-5,8.1E-5,1.036E-4,9.27E-5,1.631E-4,1.073E-4,6.88E-5,8.32E-5,5.98E-5,6.27E-5,2.63E-5,0.0015,1.066E-4,6.66E-5,9.27E-5,9.34E-5,2.166E-4,1.426E-4,2.122E-4,2.074E-4,2.592E-4,2.462E-4,4.149E-4,3.97E-4,5.851E-4,5.842E-4,6.918E-4,5.4E-4,5.335E-4,7.86E-4,7.136E-4,7.988E-4,9.662E-4
"Swainson's Hawk (<em class=""sci"">Buteo swainsoni</em>)",5.037E-4,3.252E-4,4.023E-4,6.163E-4,9.478E-4,0.0010452,0.0012233,0.0025802,0.0051774,0.0109746,0.0174875,0.0252671,0.0346127,0.0368348,0.0340888,0.0325201,0.0308005,0.0280334,0.0276521,0.0253313,0.0229948,0.0231118,0.0215626,0.0221166,0.0214451,0.0203441,0.0225229,0.0215438,0.0216467,0.0211644,0.0178331,0.0151605,0.0125388,0.0104644,0.0097592,0.0071324,0.0044109,0.0037043,0.002232,0.0010465,9.998E-4,8.016E-4,4.931E-4,5.927E-4,5.035E-4,3.266E-4,5.005E-4,5.153E-4
"Red-tailed Hawk (<em class=""sci"">Buteo jamaicensis</em>)",0.3085384,0.3007754,0.3065712,0.3108379,0.3070806,0.2918064,0.2692809,0.3023769,0.2931472,0.2878891,0.2825015,0.2791932,0.2709274,0.2657093,0.2621267,0.257419,0.2474026,0.2359445,0.2368668,0.2250533,0.2101829,0.2044642,0.2018496,0.2000259,0.1982829,0.1919568,0.1873909,0.1759655,0.1683084,0.1694612,0.1684206,0.1857978,0.1950481,0.2112081,0.235382,0.2424945,0.2412962,0.2540352,0.2575519,0.2734786,0.2914242,0.2983232,0.3127649,0.3120824,0.3101267,0.3175325,0.3438496,0.3170611
