,Jan,,,,Feb,,,,Mar,,,,Apr,,,,May,,,,Jun,,,,Jul,,,,Aug,,,,Sep,,,,Oct,,,,Nov,,,,Dec,,,
"Cackling Goose (<em class=""sci"">Branta hutchinsii</em>)",0.0251223,0.0252126,0.0237788,0.022933,0.0227271,0.0205646,0.0153811,0.0193323,0.0183159,0.0178259,0.0152275,0.0124302,0.0104978,0.0100908,0.009437,0.0039422,0.002069,0.0016054,0.0015145,0.0012265,9.443E-4,8.025E-4,7.013E-4,7.974E-4,0.0010152,9.581E-4,0.0010872,0.0010176,0.0012796,0.0013244,0.0011871,0.0014348,0.0012396,0.0014742,0.0016905,0.004878,0.0119812,0.0206057,0.0276857,0.0311812,0.0338696,0.0330409,0.032285,0.0284681,0.0291546,0.0278077,0.0236086,0.0222152
"Snow x Cackling Goose (hybrid) (<em class=""sci"">Anser caerulescens x Branta hutchinsii</em>)",6.3E-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Greater White-fronted x Cackling Goose (hybrid) (<em class=""sci"">Anser albifrons x Branta hutchinsii</em>)",1.89E-5,2.5E-5,2.46E-5,2.47E-5,1.9E-5,1.74E-5,6.6E-6,0,1.03E-5,2.1E-5,0,0,0,0.0015,1.75E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04E-5,7.9E-6,1.03E-5,0,1.07E-5,8.2E-6,4.49E-5,2.2E-5,2.35E-5,8.5E-6,1.23E-5,3.63E-5,5.77E-5,1.93E-5
"Canada Goose (<em class=""sci"">Branta canadensis</em>)",0.1842177,0.19343,0.1938024,0.2032356,0.204771,0.1939221,0.1798909,0.2047285,0.2142028,0.2259236,0.22573,0.2182268,0.2140845,0.2113272,0.2075881,0.2023162,0.1949949,0.1816558,0.1671183,0.1428278,0.1183969,0.1079126,0.1038073,0.111749,0.1276681,0.1337201,0.1457276,0.1447982,0.1413167,0.1387741,0.1335948,0.1404245,0.1382999,0.1319939,0.1368775,0.1370163,0.1364606,0.1372069,0.1433002,0.1496271,0.1535981,0.1495789,0.1617652,0.1639838,0.1733556,0.165443,0.1604189,0.168395
"Swan Goose x Canada Goose (hybrid) (<em class=""sci"">Anser cygnoides x Branta canadensis</em>)",1.89E-5,2.5E-5,4.93E-5,4.31E-5,3.79E-5,5.23E-5,3.97E-5,4.89E-5,1.13E-4,3.15E-5,5.02E-5,4.91E-5,5.65E-5,5.71E-5,4.38E-5,1.36E-5,4.5E-5,8.6E-6,1.03E-5,2.84E-5,1.07E-5,1.15E-5,1.19E-5,3.99E-5,1.25E-5,2.63E-5,6.71E-5,4.85E-5,1.33E-5,1.32E-5,2.67E-5,2.71E-5,3.29E-5,2.23E-5,4.15E-5,3.93E-5,4.1E-5,0,2.15E-5,3.3E-5,5.62E-5,0,2.35E-5,5.08E-5,9.82E-5,1.21E-5,3.85E-5,3.86E-5
"Greater White-fronted x Canada Goose (hybrid) (<em class=""sci"">Anser albifrons x Branta canadensis</em>)",1.89E-5,0,2.46E-5,3.08E-5,9.5E-6,6.97E-5,1.98E-5,4.89E-5,3.08E-5,0,4.02E-5,1.4E-5,9.4E-6,9.5E-6,0,6.8E-6,0,8.6E-6,2.06E-5,2.13E-5,2.15E-5,2.29E-5,1.19E-5,1.99E-5,5.01E-5,1.31E-5,1.34E-5,2.91E-5,2.67E-5,2.65E-5,4.0E-5,1.8E-5,5.49E-5,2.23E-5,3.11E-5,2.36E-5,6.15E-5,5.93E-5,2.15E-5,3.3E-5,1.011E-4,3.29E-5,8.22E-5,5.93E-5,6.14E-5,4.84E-5,1.92E-5,1.29E-5
"Greater White-fronted x Cackling/Canada Goose (hybrid) (<em class=""sci"">Anser albifrons x Branta hutchinsii/canadensis</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2E-6,0,0,1.17E-5,0,0,0,0,0
"Graylag x Canada Goose (hybrid) (<em class=""sci"">Anser anser x Branta canadensis</em>)",1.133E-4,7.5E-5,1.314E-4,1.233E-4,1.043E-4,6.1E-5,1.19E-4,6.84E-5,8.22E-5,7.34E-5,6.03E-5,7.71E-5,6.6E-5,6.66E-5,2.63E-5,6.82E-5,3.6E-5,6.04E-5,9.27E-5,4.25E-5,3.22E-5,4.59E-5,0,1.0E-5,6.27E-5,2.63E-5,2.68E-5,6.78E-5,6.66E-5,9.27E-5,6.67E-5,9.93E-5,1.097E-4,1.228E-4,1.037E-4,4.71E-5,7.18E-5,3.95E-5,7.51E-5,9.06E-5,1.685E-4,1.757E-4,8.22E-5,1.101E-4,1.228E-4,1.572E-4,1.059E-4,1.481E-4
"Domestic goose sp. x Canada Goose (hybrid) (<em class=""sci"">Anser sp. (Domestic type) x Branta canadensis</em>)",5.982E-4,6.003E-4,6.733E-4,6.225E-4,6.634E-4,4.703E-4,4.827E-4,5.376E-4,6.061E-4,5.456E-4,4.319E-4,3.786E-4,3.958E-4,4.28E-4,3.414E-4,3.888E-4,3.238E-4,2.762E-4,2.679E-4,2.765E-4,3.326E-4,2.751E-4,3.091E-4,5.183E-4,3.885E-4,3.019E-4,4.295E-4,4.07E-4,4.265E-4,4.503E-4,4.135E-4,5.595E-4,4.388E-4,6.812E-4,7.363E-4,8.405E-4,6.155E-4,4.939E-4,4.722E-4,6.345E-4,6.291E-4,3.843E-4,5.283E-4,5.165E-4,5.772E-4,5.443E-4,4.042E-4,6.183E-4
"Snow x Canada Goose (hybrid) (<em class=""sci"">Anser caerulescens x Branta canadensis</em>)",0,0,0,0,9.5E-6,0,0,0,0,2.1E-5,1.0E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04E-5,0,0,0,0,0,0,1.1E-5,0,0,0,0,9.6E-6,0
"Barnacle x Canada Goose (hybrid) (<em class=""sci"">Branta leucopsis x canadensis</em>)",0,0,0,0,0,0,6.6E-6,0,0,0,0,0,0,0,8.8E-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cackling/Canada Goose (<em class=""sci"">Branta hutchinsii/canadensis</em>)",4.974E-4,5.169E-4,5.337E-4,4.684E-4,4.454E-4,5.313E-4,5.555E-4,4.496E-4,3.698E-4,3.882E-4,3.516E-4,3.295E-4,3.016E-4,3.139E-4,2.626E-4,1.637E-4,1.619E-4,1.899E-4,1.957E-4,1.418E-4,6.44E-5,5.73E-5,1.19E-5,2.99E-5,6.27E-5,7.88E-5,5.37E-5,7.75E-5,6.66E-5,5.3E-5,8.0E-5,1.173E-4,7.68E-5,6.7E-5,1.867E-4,2.749E-4,3.693E-4,5.137E-4,5.687E-4,5.768E-4,6.291E-4,5.82E-4,6.809E-4,6.774E-4,7.0E-4,3.75E-4,4.716E-4,4.766E-4
"Hawaiian Goose (<em class=""sci"">Branta sandvicensis</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0.0015,0,0,0,0,0,0,7.9E-6,0.0015,0,0,0,0,0,0,0,0,0,0,0
"Red-breasted Goose (<em class=""sci"">Branta ruficollis</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Branta sp. (<em class=""sci"">Branta sp.</em>)",0,0,0,0,0,0,0,0,0,1.05E-5,1.0E-5,0,0,1.9E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0,1.98E-5,0,8.2E-6,1.12E-5,1.1E-5,0,0,0,0,0,6.4E-6
"Mute Swan (<em class=""sci"">Cygnus olor</em>)",0.0081726,0.0080874,0.0084819,0.0087332,0.008435,0.0079349,0.0063349,0.0085617,0.0086084,0.0084041,0.0086483,0.0076278,0.0063986,0.0060298,0.0053576,0.0054018,0.005991,0.0052735,0.0056973,0.0048564,0.0043028,0.0043908,0.0043862,0.0047542,0.0063796,0.0057882,0.0052884,0.0061734,0.0061448,0.0063705,0.0059888,0.0055408,0.0061432,0.0056621,0.0055174,0.0053022,0.0052007,0.0057688,0.0061595,0.0067982,0.0071559,0.0065774,0.007044,0.0073245,0.0067913,0.0061687,0.0056206,0.0068855
"Black Swan (<em class=""sci"">Cygnus atratus</em>)",1.448E-4,4.17E-5,9.03E-5,1.171E-4,2.18E-4,9.58E-5,9.26E-5,4.89E-5,9.25E-5,5.25E-5,7.03E-5,7.71E-5,1.508E-4,3.8E-5,6.13E-5,5.46E-5,3.6E-5,6.9E-5,7.21E-5,1.42E-5,9.66E-5,2.29E-5,2.38E-5,9.97E-5,7.52E-5,2.63E-5,6.71E-5,7.75E-5,8.0E-5,1.324E-4,6.67E-5,0.0015,1.1E-5,2.23E-5,3.11E-5,1.57E-5,2.05E-5,4.94E-5,7.51E-5,4.12E-5,7.86E-5,2.086E-4,1.409E-4,6.77E-5,7.37E-5,6.05E-5,8.66E-5,7.73E-5
"Black-necked Swan (<em class=""sci"">Cygnus melancoryphus</em>)",6.3E-6,0,0,0,0,0,0,0,0,1.05E-5,0,0,0,0.0015,0,0,0,0,0,0,0,1.15E-5,0,0,0,0,0,0.0015,0,0,0,2.71E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trumpeter Swan (<em class=""sci"">Cygnus buccinator</em>)",9.319E-4,4.502E-4,0.0011906,9.121E-4,6.066E-4,5.574E-4,3.571E-4,3.323E-4,3.39E-4,2.833E-4,1.607E-4,1.612E-4,1.037E-4,1.9E-5,0,2.73E-5,0.0015,0,0,0.0015,0,0,0.0015,0,0.0015,1.31E-5,1.34E-5,9.7E-6,1.33E-5,0,0,0,0.0015,0,0,0.0015,0,9.9E-6,0,8.2E-6,1.011E-4,1.318E-4,7.04E-5,2.879E-4,4.298E-4,3.387E-4,3.176E-4,0.0010435
"Tundra Swan (<em class=""sci"">Cygnus columbianus</em>)",0.0158163,0.0152076,0.0152887,0.0162337,0.0123966,0.0120025,0.0087353,0.0067438,0.0049,0.0043437,0.0029631,0.0022295,0.001046,8.179E-4,4.815E-4,6.002E-4,2.519E-4,2.935E-4,3.4E-4,2.694E-4,2.039E-4,6.88E-5,7.13E-5,9.97E-5,2.381E-4,2.888E-4,1.208E-4,1.26E-4,9.33E-5,1.06E-4,1.601E-4,1.534E-4,1.975E-4,2.122E-4,1.971E-4,9.43E-5,1.231E-4,1.185E-4,2.039E-4,0.0020848,0.0055944,0.0093995,0.0129609,0.0141494,0.0162966,0.0144179,0.0145232,0.0157742
"Trumpeter/Tundra Swan (<em class=""sci"">Cygnus buccinator/columbianus</em>)",3.15E-5,2.5E-5,4.11E-5,2.47E-5,5.69E-5,6.1E-5,4.63E-5,8.8E-5,3.08E-5,1.05E-5,7.03E-5,1.4E-5,0,9.5E-6,0,0,0,8.6E-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2E-6,1.12E-5,3.29E-5,3.52E-5,2.54E-5,1.105E-4,3.63E-5,2.89E-5,6.4E-6
"Whooper Swan (<em class=""sci"">Cygnus cygnus</em>)",0.0015,0.0015,2.46E-5,6.2E-6,0.0015,0.0015,1.32E-5,9.8E-6,1.03E-5,2.1E-5,0.0015,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69E-5,1.23E-5,0.0015,9.6E-6,0.0015
